model_name,model_path,pretrained_weights,experiment_type,subject_spec_id,held_out_subject,held_out_target,init_mode,n_train,n_val,n_test,best_epoch,best_val_loss,test_loss,test_ang_error,runtime_sec,stopped_early
subject_spec_scratch_007_2,results\models\subject_spec_scratch_007_2.pth,,subject_spec_scratch,007,,2,scratch,2319,36,54,5,7.904408931732178,7.904223918914795,7.904223918914795,103.52980780601501,True
subject_spec_scratch_007_3,results\models\subject_spec_scratch_007_3.pth,,subject_spec_scratch,007,,3,scratch,2312,38,59,1,9.679931640625,9.67996597290039,9.67996597290039,67.85683298110962,True
subject_spec_scratch_007_4,results\models\subject_spec_scratch_007_4.pth,,subject_spec_scratch,007,,4,scratch,2312,38,59,1,16.162866592407227,16.162818908691406,16.162818908691406,67.25840401649475,True
subject_spec_scratch_007_5,results\models\subject_spec_scratch_007_5.pth,,subject_spec_scratch,007,,5,scratch,2317,36,56,8,12.63115119934082,12.6309232711792,12.6309232711792,127.02790880203247,True
subject_spec_scratch_007_6,results\models\subject_spec_scratch_007_6.pth,,subject_spec_scratch,007,,6,scratch,2311,39,59,1,6.10828161239624,6.1122636795043945,6.1122636795043945,67.60955166816711,True
subject_spec_scratch_007_7,results\models\subject_spec_scratch_007_7.pth,,subject_spec_scratch,007,,7,scratch,2311,39,59,5,3.821465015411377,3.82177734375,3.82177734375,99.96181106567383,True
subject_spec_scratch_007_8,results\models\subject_spec_scratch_007_8.pth,,subject_spec_scratch,007,,8,scratch,2311,39,59,1,7.309444427490234,7.316328048706055,7.316328048706055,68.45505166053772,True
subject_spec_scratch_007_9,results\models\subject_spec_scratch_007_9.pth,,subject_spec_scratch,007,,9,scratch,2312,38,59,1,13.8850679397583,13.880725860595703,13.880725860595703,67.47325229644775,True
subject_spec_scratch_007_10,results\models\subject_spec_scratch_007_10.pth,,subject_spec_scratch,007,,10,scratch,2311,39,59,5,13.771803855895996,13.775226593017578,13.775226593017578,100.6415147781372,True
subject_spec_scratch_007_11,results\models\subject_spec_scratch_007_11.pth,,subject_spec_scratch,007,,11,scratch,2311,39,59,13,5.798705577850342,5.801578044891357,5.801578044891357,159.59318280220032,True
subject_spec_scratch_007_12,results\models\subject_spec_scratch_007_12.pth,,subject_spec_scratch,007,,12,scratch,2311,39,59,7,0.31017568707466125,0.31018298864364624,0.31018298864364624,108.70004796981812,True
subject_spec_scratch_007_13,results\models\subject_spec_scratch_007_13.pth,,subject_spec_scratch,007,,13,scratch,2311,39,59,6,5.552556037902832,5.562199115753174,5.562199115753174,108.89361929893494,True
subject_spec_scratch_007_14,results\models\subject_spec_scratch_007_14.pth,,subject_spec_scratch,007,,14,scratch,2312,38,59,1,10.893247604370117,10.888787269592285,10.888787269592285,67.77982139587402,True
subject_spec_scratch_007_15,results\models\subject_spec_scratch_007_15.pth,,subject_spec_scratch,007,,15,scratch,2311,39,59,2,13.650398254394531,13.657407760620117,13.657407760620117,75.69249892234802,True
