model_name,experiment_type,subject_spec_id,held_out_subject,held_out_target,init_mode,epoch,train_loss,val_loss
subject_spec_scratch_002_6,subject_spec_scratch,002,,6,scratch,2,12.260321776072184,6.278162002563477
subject_spec_scratch_002_6,subject_spec_scratch,002,,6,scratch,3,11.936403380499947,13.779862403869629
subject_spec_scratch_002_6,subject_spec_scratch,002,,6,scratch,4,12.051028834448921,7.348839282989502
subject_spec_scratch_002_6,subject_spec_scratch,002,,6,scratch,5,11.852002302805582,9.599117279052734
subject_spec_scratch_002_6,subject_spec_scratch,002,,6,scratch,6,11.868380387624105,9.625345230102539
subject_spec_scratch_002_6,subject_spec_scratch,002,,6,scratch,7,11.82330158021715,9.765146255493164
subject_spec_scratch_002_6,subject_spec_scratch,002,,6,scratch,8,11.798398653666178,11.250408172607422
subject_spec_scratch_002_7,subject_spec_scratch,002,,7,scratch,1,21.90684625837538,12.49681568145752
subject_spec_scratch_002_7,subject_spec_scratch,002,,7,scratch,2,12.802898989783394,6.7336626052856445
subject_spec_scratch_002_7,subject_spec_scratch,002,,7,scratch,3,12.184996340009901,3.6691195964813232
subject_spec_scratch_002_7,subject_spec_scratch,002,,7,scratch,4,12.140652020772299,4.713499546051025
subject_spec_scratch_002_7,subject_spec_scratch,002,,7,scratch,5,12.029900391896566,4.3721699714660645
subject_spec_scratch_002_7,subject_spec_scratch,002,,7,scratch,6,12.132881217532688,5.174068450927734
subject_spec_scratch_002_7,subject_spec_scratch,002,,7,scratch,7,12.022705660925972,5.047477722167969
subject_spec_scratch_002_7,subject_spec_scratch,002,,7,scratch,8,12.000274393293592,4.4993977546691895
subject_spec_scratch_002_7,subject_spec_scratch,002,,7,scratch,9,12.009463575151232,5.114154815673828
subject_spec_scratch_002_8,subject_spec_scratch,002,,8,scratch,1,20.057723840077717,9.090779304504395
subject_spec_scratch_002_8,subject_spec_scratch,002,,8,scratch,2,12.177142514122856,12.145611763000488
subject_spec_scratch_002_8,subject_spec_scratch,002,,8,scratch,3,11.948923269907633,8.54003620147705
subject_spec_scratch_002_8,subject_spec_scratch,002,,8,scratch,4,11.882804446750217,8.831897735595703
subject_spec_scratch_002_8,subject_spec_scratch,002,,8,scratch,5,11.93300829993354,9.36457633972168
subject_spec_scratch_002_8,subject_spec_scratch,002,,8,scratch,6,11.900037977430555,8.950446128845215
subject_spec_scratch_002_8,subject_spec_scratch,002,,8,scratch,7,11.81930955251058,8.831644058227539
subject_spec_scratch_002_8,subject_spec_scratch,002,,8,scratch,8,11.829357571072048,8.73960018157959
subject_spec_scratch_002_8,subject_spec_scratch,002,,8,scratch,9,11.795104874504936,9.970149993896484
subject_spec_scratch_002_9,subject_spec_scratch,002,,9,scratch,1,19.88058090209961,13.757841110229492
subject_spec_scratch_002_9,subject_spec_scratch,002,,9,scratch,2,12.191009097629124,17.836469650268555
subject_spec_scratch_002_9,subject_spec_scratch,002,,9,scratch,3,11.696236981285942,17.981733322143555
subject_spec_scratch_002_9,subject_spec_scratch,002,,9,scratch,4,11.640417098999023,15.595844268798828
subject_spec_scratch_002_9,subject_spec_scratch,002,,9,scratch,5,11.56393543879191,17.33409309387207
subject_spec_scratch_002_9,subject_spec_scratch,002,,9,scratch,6,11.535300254821777,15.670058250427246
subject_spec_scratch_002_9,subject_spec_scratch,002,,9,scratch,7,11.533153851826986,17.8811092376709
subject_spec_scratch_002_10,subject_spec_scratch,002,,10,scratch,1,21.356303426954483,27.035728454589844
subject_spec_scratch_002_10,subject_spec_scratch,002,,10,scratch,2,12.416951497395834,16.51026725769043
subject_spec_scratch_002_10,subject_spec_scratch,002,,10,scratch,3,11.76655371983846,13.170231819152832
subject_spec_scratch_002_10,subject_spec_scratch,002,,10,scratch,4,11.58141459359063,15.840264320373535
subject_spec_scratch_002_10,subject_spec_scratch,002,,10,scratch,5,11.526552942064074,14.801939010620117
subject_spec_scratch_002_10,subject_spec_scratch,002,,10,scratch,6,11.535817676120335,15.248476028442383
subject_spec_scratch_002_10,subject_spec_scratch,002,,10,scratch,7,11.538892216152615,16.256162643432617
subject_spec_scratch_002_10,subject_spec_scratch,002,,10,scratch,8,11.556633472442627,16.286161422729492
subject_spec_scratch_002_10,subject_spec_scratch,002,,10,scratch,9,11.627863778008354,14.85307788848877
subject_spec_scratch_002_11,subject_spec_scratch,002,,11,scratch,1,21.09813658396403,16.68989372253418
subject_spec_scratch_002_11,subject_spec_scratch,002,,11,scratch,2,12.565263059404161,6.957299709320068
subject_spec_scratch_002_11,subject_spec_scratch,002,,11,scratch,3,12.253492991129557,6.539153575897217
subject_spec_scratch_002_11,subject_spec_scratch,002,,11,scratch,4,12.055920706854927,8.531551361083984
subject_spec_scratch_002_11,subject_spec_scratch,002,,11,scratch,5,11.927205774519178,8.267131805419922
subject_spec_scratch_002_11,subject_spec_scratch,002,,11,scratch,6,11.933947457207573,9.548529624938965
