model_name,experiment_type,subject_spec_id,held_out_subject,held_out_target,init_mode,transfer_mode,epoch,train_loss,val_loss
subject_spec_transfer_last_two_conv_002_3,subject_spec_transfer,002,,3,transfer,last_two_conv,1,3.1760916312535605,1.1395331621170044
subject_spec_transfer_last_two_conv_002_3,subject_spec_transfer,002,,3,transfer,last_two_conv,2,1.2506814930174086,0.7396056652069092
subject_spec_transfer_last_two_conv_002_3,subject_spec_transfer,002,,3,transfer,last_two_conv,3,0.9264221953021156,1.316703200340271
subject_spec_transfer_last_two_conv_002_3,subject_spec_transfer,002,,3,transfer,last_two_conv,4,0.9960375792450376,0.9675334095954895
subject_spec_transfer_last_two_conv_002_3,subject_spec_transfer,002,,3,transfer,last_two_conv,5,0.9130607942740122,0.8467274904251099
subject_spec_transfer_last_two_conv_002_3,subject_spec_transfer,002,,3,transfer,last_two_conv,6,0.9444474975268046,1.1128193140029907
subject_spec_transfer_last_two_conv_002_3,subject_spec_transfer,002,,3,transfer,last_two_conv,7,0.7823874288135104,0.7847873568534851
subject_spec_transfer_last_two_conv_002_3,subject_spec_transfer,002,,3,transfer,last_two_conv,8,0.7040043705039554,0.9398614764213562
subject_spec_transfer_last_two_conv_002_4,subject_spec_transfer,002,,4,transfer,last_two_conv,1,3.535969396432241,2.654454469680786
subject_spec_transfer_last_two_conv_002_4,subject_spec_transfer,002,,4,transfer,last_two_conv,2,1.3509048653973474,2.995804786682129
subject_spec_transfer_last_two_conv_002_4,subject_spec_transfer,002,,4,transfer,last_two_conv,3,0.951272209485372,2.304594039916992
subject_spec_transfer_last_two_conv_002_4,subject_spec_transfer,002,,4,transfer,last_two_conv,4,0.8511344790458679,2.3567910194396973
subject_spec_transfer_last_two_conv_002_4,subject_spec_transfer,002,,4,transfer,last_two_conv,5,0.8227806985378265,2.1025729179382324
subject_spec_transfer_last_two_conv_002_4,subject_spec_transfer,002,,4,transfer,last_two_conv,6,0.8017557892534468,2.139162063598633
subject_spec_transfer_last_two_conv_002_4,subject_spec_transfer,002,,4,transfer,last_two_conv,7,0.7293959144088957,2.419633388519287
subject_spec_transfer_last_two_conv_002_4,subject_spec_transfer,002,,4,transfer,last_two_conv,8,0.7528210050529904,2.0215580463409424
