num_blocks,base_channel,adaptive_pool_out,hidden_dim,activation,loss_function,optimizer,learning_rate,best_epoch,best_val_loss,test_loss,mean_test_angular_error,runtime_sec,stopped_early
4,16,"(3, 4)",64,relu,angular_error_squared,adam,0.01,10,11.532932940651389,11.63900076641756,2.5413619443482043,175.35,True
4,32,"(3, 4)",64,leakyrelu,angular_error,adam,0.01,15,2.5501904242178974,2.5664231566821827,2.5664231566821827,422.19,True
4,32,"(3, 4)",32,relu,mse,adam,0.001,26,6648.527372472427,6734.749427945007,2.5757235265245626,661.57,True
4,32,"(3, 4)",128,relu,mse,adam,0.001,19,6782.991663315717,6761.02641027114,2.5757661169650508,507.68,True
4,32,"(1, 1)",32,leakyrelu,angular_error,adam,0.01,26,2.5815832018852234,2.577084087858013,2.577084087858013,659.05,True
4,32,"(3, 4)",128,relu,angular_error,adam,0.001,18,2.5501577994402718,2.5857304755379173,2.5857304755379173,490.21,True
4,16,"(3, 4)",32,leakyrelu,angular_error,adam,0.01,8,2.5745604353792526,2.590257950857574,2.590257950857574,150.46,True
3,16,"(3, 4)",64,leakyrelu,mse,adam,0.01,20,6750.223273782169,6779.734166762408,2.593469792721318,268.89,True
3,32,"(3, 4)",64,leakyrelu,angular_error_squared,adam,0.01,16,11.577279182041393,11.641166453268013,2.6052602506151388,393.94,True
3,32,"(3, 4)",64,relu,angular_error,adam,0.01,30,2.5867233451674965,2.6136283640768014,2.6136283640768014,589.97,False
3,16,"(3, 4)",64,leakyrelu,angular_error_squared,adam,0.01,22,11.853828128646402,11.862232301749435,2.615305881874234,297.11,True
4,32,"(3, 4)",32,relu,angular_error,adam,0.001,30,2.636214785716113,2.618392352964364,2.618392352964364,667.31,False
3,16,"(3, 4)",32,relu,angular_error,adam,0.01,27,2.5965843866853153,2.6226539261200847,2.6226539261200847,342.02,False
3,32,"(3, 4)",32,leakyrelu,mse,adam,0.01,15,7001.069957059973,7046.895627489277,2.625371299537958,369.99,True
4,16,"(1, 1)",128,leakyrelu,angular_error_squared,adam,0.01,21,11.8180573126849,11.891976487402822,2.627521311535555,308.47,True
4,32,"(3, 4)",64,relu,angular_error,adam,0.01,17,2.6248654442674972,2.629921976257773,2.629921976257773,467.4,True
4,32,"(3, 4)",64,leakyrelu,mse,adam,0.01,10,6903.573091394761,6871.162798713235,2.6495780266967475,308.89,True
4,32,"(3, 4)",32,leakyrelu,mse,adam,0.001,13,6995.869133444394,6966.424665862439,2.6550368000479305,374.6,True
4,16,"(3, 4)",128,leakyrelu,mse,adam,0.01,11,7124.372249827666,7140.05806238511,2.6602136995278154,184.39,True
2,32,"(3, 4)",128,leakyrelu,angular_error,adam,0.01,29,2.679308491594651,2.665235739128262,2.665235739128262,485.62,False
4,16,"(3, 4)",128,relu,angular_error_squared,adam,0.01,16,12.18990975968978,12.284485910453048,2.6666886806488037,250.48,True
3,32,"(3, 4)",128,leakyrelu,angular_error_squared,adam,0.01,14,11.840153245364919,12.212182605967802,2.677722598992142,354.82,True
4,32,"(3, 4)",128,relu,mse,adam,0.01,23,6955.219295726103,7159.110988242954,2.681211600116655,595.95,True
4,16,"(3, 4)",64,leakyrelu,mse,adam,0.01,12,7084.298354204963,7097.346066942402,2.6855952669592464,196.15,True
2,16,"(3, 4)",128,leakyrelu,angular_error,adam,0.01,30,2.69227933883667,2.6868964854408715,2.6868964854408715,302.18,False
3,32,"(3, 4)",128,leakyrelu,mse,adam,0.01,21,7858.769473805147,7749.671204810049,2.693963233162375,486.32,True
4,16,"(3, 4)",64,leakyrelu,angular_error_squared,adam,0.01,9,12.384597259409288,12.412449214972701,2.696907648853227,162.95,True
4,32,"(3, 4)",32,leakyrelu,mse,adam,0.01,13,7229.264196059283,7182.043830422794,2.699800075269213,374.94,True
4,16,"(3, 4)",64,relu,angular_error,adam,0.001,30,2.7026022777837864,2.706806699434916,2.706806699434916,373.87,False
3,32,"(3, 4)",32,relu,mse,adam,0.01,25,7253.862972483916,7406.592256433823,2.7247061963174857,565.37,True
3,16,"(3, 4)",128,relu,angular_error_squared,adam,0.01,29,12.925702137105604,13.005209581524719,2.725661324519737,343.56,False
3,16,"(3, 4)",32,relu,angular_error_squared,adam,0.01,22,13.104904469321756,13.037794005637075,2.729309790274676,296.49,True
4,32,"(3, 4)",64,relu,mse,adam,0.001,29,7454.215784409467,7373.871577244179,2.730691077662449,661.28,False
3,16,"(3, 4)",32,leakyrelu,angular_error_squared,adam,0.01,23,12.515093298519359,12.502440863964605,2.7310524898416855,307.62,True
3,16,"(3, 4)",128,relu,mse,adam,0.01,21,7163.754688936121,7253.017635569853,2.7448907389360317,281.09,True
3,16,"(3, 4)",64,relu,mse,adam,0.01,30,7530.216157801011,7554.060431985294,2.7571928314134184,336.63,False
3,32,"(3, 4)",64,relu,angular_error_squared,adam,0.01,20,12.986541362369762,12.952730926812864,2.779077817411984,473.14,True
3,16,"(3, 4)",64,relu,angular_error,adam,0.01,29,2.78786143134622,2.7805697520573935,2.7805697520573935,342.47,False
4,16,"(3, 4)",32,relu,mse,adam,0.01,20,7345.306568818934,7531.661003561581,2.782015945397171,294.69,True
4,32,"(3, 4)",128,leakyrelu,angular_error_squared,adam,0.01,13,13.015644045437083,13.103993032492843,2.7969812154769897,379.72,True
3,32,"(3, 4)",32,leakyrelu,angular_error_squared,adam,0.01,16,12.801425849690157,13.13799095621296,2.8025368568944,393.9,True
4,32,"(3, 4)",32,leakyrelu,angular_error_squared,adam,0.01,9,12.991365572985481,13.110216290343041,2.804705911991643,289.73,True
3,32,"(3, 4)",32,relu,angular_error,adam,0.01,19,2.7922639355939975,2.810530515278087,2.810530515278087,453.33,True
2,32,"(3, 4)",128,leakyrelu,mse,adam,0.01,26,7677.8725801355695,7795.900989008885,2.8247799055249083,479.28,True
4,32,"(3, 4)",128,leakyrelu,mse,adam,0.01,8,7675.150469611673,7758.828986672794,2.851679577546961,265.2,True
3,32,"(3, 4)",128,relu,angular_error_squared,adam,0.01,19,13.62677648488213,13.725066446790509,2.862956208341262,453.51,True
3,32,"(3, 4)",64,relu,mse,adam,0.01,22,7738.752276252298,7802.702435661765,2.8816200892130532,507.39,True
4,16,"(3, 4)",32,leakyrelu,mse,adam,0.001,29,8418.602165670956,8261.492872051163,2.8836890318814445,366.97,False
4,32,"(3, 4)",64,relu,mse,adam,0.01,29,7836.115830365349,7975.522896560969,2.8860209899790146,661.45,False
4,16,"(3, 4)",32,relu,angular_error_squared,adam,0.01,21,13.763852091396556,13.986402245128856,2.8891737764956904,312.26,True
3,32,"(3, 4)",128,leakyrelu,angular_error,adam,0.001,29,2.904088725061978,2.898521678120482,2.898521678120482,589.6,False
4,16,"(3, 4)",128,relu,angular_error,adam,0.001,24,2.903236788861892,2.899174589736789,2.899174589736789,348.7,True
2,32,"(3, 4)",64,leakyrelu,angular_error_squared,adam,0.01,30,13.955272730659036,13.860059317420511,2.912777339710909,485.39,False
3,32,"(3, 4)",128,relu,mse,adam,0.01,20,7895.263865751379,8030.08318493413,2.9204119490642175,467.75,True
4,32,"(3, 4)",64,relu,angular_error_squared,adam,0.01,20,13.825971126556396,13.840239665087532,2.9224174513536343,534.52,True
4,16,"(3, 4)",32,leakyrelu,mse,adam,0.01,17,8590.289881089155,8603.336219937193,2.9258895481334015,257.44,True
2,32,"(3, 4)",128,leakyrelu,angular_error_squared,adam,0.01,28,15.48209170734181,15.411349128274356,2.9466490558549467,486.79,False
4,32,"(3, 4)",32,relu,angular_error_squared,adam,0.001,24,14.803226358750287,14.322572754878625,2.9532584396063113,622.99,True
2,32,"(3, 4)",128,relu,angular_error_squared,adam,0.01,30,14.60003101124483,14.54045378928091,2.9640760982737824,487.99,False
3,16,"(3, 4)",128,leakyrelu,mse,adam,0.01,14,8377.518648035386,8314.099106732538,2.9744195190130496,202.28,True
4,16,"(1, 1)",32,leakyrelu,angular_error,adam,0.01,30,2.9896208433543934,2.9773851960313085,2.9773851960313085,368.24,False
4,16,"(3, 4)",32,relu,mse,adam,0.001,28,8672.142211914062,8610.30064721201,2.977651932660271,368.48,False
2,32,"(3, 4)",128,relu,mse,adam,0.01,22,8578.960499482997,8542.501440908394,2.9799860154881195,416.82,True
4,16,"(3, 4)",64,leakyrelu,angular_error,adam,0.01,15,2.9719161110765793,2.980819767596675,2.980819767596675,236.45,True
3,16,"(3, 4)",32,relu,mse,adam,0.01,30,8156.062184053309,8381.45640893076,2.9877822866626813,335.88,False
2,32,"(3, 4)",64,leakyrelu,mse,adam,0.01,29,8377.241153492647,8380.457533892462,2.9887102000853596,478.94,False
4,32,"(3, 4)",128,relu,angular_error_squared,adam,0.01,12,13.843972472583546,13.954995865915336,2.995836650623995,357.52,True
3,32,"(3, 4)",64,leakyrelu,mse,adam,0.001,30,9360.612211339614,9180.068115234375,3.0475438202128693,583.02,False
3,32,"(3, 4)",64,leakyrelu,angular_error_squared,adam,0.001,29,15.663230643552893,15.51965907975739,3.050225996503643,590.17,False
4,16,"(3, 4)",64,relu,angular_error_squared,adam,0.001,29,15.025120805291568,14.95942362617044,3.076619489520204,374.26,False
4,16,"(3, 4)",128,relu,mse,adam,0.001,29,9202.085499482997,8982.03173828125,3.080717362609564,368.6,False
4,32,"(3, 4)",32,relu,angular_error_squared,adam,0.01,7,14.40231089030995,14.794881689782237,3.0863131448334338,245.99,True
4,32,"(1, 1)",32,relu,angular_error_squared,adam,0.01,23,15.479724266949821,15.41805191601024,3.108836197385601,593.81,True
4,16,"(3, 4)",128,relu,angular_error_squared,adam,0.001,23,16.51152558887706,16.330066204071045,3.131176827000637,336.78,True
4,16,"(3, 4)",32,relu,angular_error,adam,0.001,30,3.1590045234736275,3.1354759206958844,3.1354759206958844,374.1,False
4,16,"(3, 4)",32,relu,angular_error_squared,adam,0.001,30,15.806312056148753,15.674991785311231,3.152963780889324,373.94,False
4,32,"(3, 4)",32,relu,mse,adam,0.01,14,9250.238022748163,9329.265443091299,3.156916104111017,397.39,True
2,32,"(3, 4)",32,leakyrelu,mse,adam,0.01,29,9141.103242761948,9147.844740923712,3.1636748080160104,478.18,False
3,32,"(3, 4)",128,leakyrelu,angular_error_squared,adam,0.001,29,16.58359133496004,16.41913096110026,3.16542955940845,590.21,False
4,16,"(1, 1)",128,leakyrelu,angular_error,adam,0.01,14,3.213347449022181,3.20067387936162,3.20067387936162,221.62,True
4,32,"(1, 1)",32,leakyrelu,mse,adam,0.01,13,9195.064065372242,9221.047415939032,3.2070592361337997,371.01,True
2,16,"(3, 4)",128,relu,mse,adam,0.01,29,9917.148846794576,9663.994250727636,3.2085865432140874,297.24,False
2,32,"(3, 4)",64,relu,angular_error_squared,adam,0.01,30,17.520339418860043,17.341484714956845,3.233053340631373,487.1,False
2,32,"(3, 4)",32,relu,angular_error_squared,adam,0.01,27,17.85691251474268,17.5155091566198,3.2395624904071583,485.97,False
2,32,"(3, 4)",128,relu,angular_error,adam,0.01,29,3.2501746977076813,3.243631299804239,3.243631299804239,487.45,False
2,16,"(3, 4)",128,leakyrelu,angular_error_squared,adam,0.01,28,17.429305777830237,17.06541005302878,3.247673060379776,302.87,False
4,16,"(1, 1)",64,leakyrelu,angular_error,adam,0.01,15,3.2458574842004215,3.2570189214220235,3.2570189214220235,233.6,True
2,16,"(3, 4)",64,leakyrelu,angular_error,adam,0.01,30,3.3092047326705036,3.278446557475071,3.278446557475071,302.04,False
2,16,"(3, 4)",128,relu,angular_error,adam,0.01,30,3.3564957485479465,3.302106032184526,3.302106032184526,303.98,False
3,32,"(3, 4)",128,leakyrelu,mse,adam,0.001,29,10359.730432846967,10327.427169500612,3.308017735387765,583.68,False
4,16,"(1, 1)",32,relu,angular_error,adam,0.01,30,3.318730413913727,3.3332337024165133,3.3332337024165133,368.97,False
4,16,"(3, 4)",64,relu,mse,adam,0.001,30,9854.385174919576,9864.355085784313,3.3346556425094604,368.51,False
3,32,"(3, 4)",32,leakyrelu,mse,adam,0.001,30,10248.606962316177,10134.706653071386,3.33583611834283,583.34,False
4,32,"(1, 1)",64,relu,mse,adam,0.01,24,9620.311394186581,9696.709640203737,3.3416851455090093,610.48,True
2,32,"(3, 4)",32,relu,angular_error,adam,0.01,30,3.3588092116748585,3.357787980752833,3.357787980752833,484.78,False
4,32,"(1, 1)",128,leakyrelu,mse,adam,0.01,14,9221.831693761489,9425.60303213082,3.3583150891696705,392.36,True
2,16,"(3, 4)",128,leakyrelu,mse,adam,0.01,30,10648.654864142924,10585.3042901731,3.370501586035186,296.57,False
4,32,"(1, 1)",128,relu,angular_error_squared,adam,0.01,17,17.45324705628788,17.436657840130376,3.371066165905373,462.79,True
2,16,"(3, 4)",64,leakyrelu,mse,adam,0.01,24,10795.113238166361,10657.249784581802,3.378941108198727,276.08,True
4,16,"(3, 4)",128,relu,mse,adam,0.01,12,10151.204747817095,10181.374904258579,3.3812887411491546,197.01,True
4,16,"(1, 1)",128,relu,mse,adam,0.01,21,10143.400017233456,10050.515653722427,3.3895642453548955,303.39,True
2,16,"(3, 4)",128,relu,angular_error_squared,adam,0.01,29,18.732172573313992,18.504018849017573,3.397815973150964,304.88,False
4,16,"(1, 1)",32,relu,angular_error_squared,adam,0.01,23,17.4774250423207,17.551881481619443,3.4273816440619673,333.22,True
3,32,"(3, 4)",64,leakyrelu,angular_error,adam,0.001,29,3.4615637134103214,3.4365422678928748,3.4365422678928748,589.89,False
2,32,"(3, 4)",32,leakyrelu,angular_error,adam,0.01,28,3.4741816871306477,3.456361165233687,3.456361165233687,484.48,False
4,32,"(1, 1)",128,leakyrelu,angular_error,adam,0.001,29,3.466162145137787,3.4585121893415263,3.4585121893415263,659.9,False
4,16,"(1, 1)",32,leakyrelu,angular_error_squared,adam,0.01,15,17.519008678548477,17.542273194182155,3.4754126399171117,233.93,True
2,16,"(3, 4)",32,leakyrelu,mse,adam,0.01,30,11514.305850758272,11451.351720473345,3.4827473070107255,295.83,False
2,32,"(3, 4)",32,relu,mse,adam,0.01,29,11381.37442555147,11462.222895603554,3.4942557694865206,478.69,False
2,32,"(3, 4)",32,leakyrelu,angular_error_squared,adam,0.01,30,19.50885350563947,19.417936708412917,3.4964802639157164,485.0,False
4,32,"(1, 1)",32,relu,angular_error,adam,0.01,25,3.4943856106084934,3.496698180834452,3.496698180834452,638.3,True
4,32,"(1, 1)",64,leakyrelu,angular_error_squared,adam,0.001,30,18.32646407800562,17.925311799142875,3.5044733940386306,659.37,False
4,16,"(1, 1)",64,relu,mse,adam,0.01,22,10937.990686753217,10797.933579388788,3.5095071722479427,315.39,True
3,32,"(1, 1)",64,leakyrelu,mse,adam,0.01,30,11004.658770392924,11055.536314721201,3.547251584483128,573.33,False
2,16,"(3, 4)",32,leakyrelu,angular_error,adam,0.01,30,3.5628613584181843,3.5498967217464075,3.5498967217464075,301.57,False
3,32,"(1, 1)",128,leakyrelu,mse,adam,0.01,30,11496.473790785845,11385.526534734987,3.5506974295073865,575.16,False
4,32,"(1, 1)",32,relu,mse,adam,0.01,25,10633.701947380514,10543.393683938419,3.5583373892541026,632.04,True
3,32,"(3, 4)",64,relu,mse,adam,0.001,30,11807.73135914522,11714.762882008272,3.573618545251734,584.31,False
2,32,"(3, 4)",64,relu,angular_error,adam,0.01,30,3.593077259905198,3.5801574132021736,3.5801574132021736,485.86,False
2,16,"(3, 4)",64,relu,mse,adam,0.01,30,11593.517879710478,11433.608580346201,3.581235240487491,295.99,False
