model_name,experiment_type,subject_spec_id,held_out_subject,held_out_target,init_mode,epoch,train_loss,val_loss
gen_loso_001,general_loso,,001,,scratch,1,11.946580963546918,12.00958080291748
gen_loso_001,general_loso,,001,,scratch,2,11.696410489397175,11.9177827835083
gen_loso_001,general_loso,,001,,scratch,3,11.65453181203817,11.867900848388672
gen_loso_001,general_loso,,001,,scratch,4,8.091067382267543,13.84868564605713
gen_loso_001,general_loso,,001,,scratch,5,4.340686052500987,20.452561950683595
gen_loso_001,general_loso,,001,,scratch,6,2.7154266359139174,20.86099967956543
gen_loso_001,general_loso,,001,,scratch,7,2.1909567302300865,21.720749282836913
gen_loso_001,general_loso,,001,,scratch,8,1.9003207533299422,21.700218200683594
gen_loso_001,general_loso,,001,,scratch,9,1.762832876156215,22.376557922363283
gen_loso_002,general_loso,,002,,scratch,1,11.909799119149039,11.956997632980347
gen_loso_002,general_loso,,002,,scratch,2,11.692410071210388,11.869625329971313
gen_loso_002,general_loso,,002,,scratch,3,9.117822406658094,5.665263891220093
gen_loso_002,general_loso,,002,,scratch,4,4.338240206313681,5.777453184127808
gen_loso_002,general_loso,,002,,scratch,5,2.977183774419967,7.337771892547607
gen_loso_002,general_loso,,002,,scratch,6,2.474660756942583,7.783686518669128
gen_loso_002,general_loso,,002,,scratch,7,2.1751816248230664,9.420039772987366
gen_loso_002,general_loso,,002,,scratch,8,2.004485567506885,8.814928412437439
gen_loso_002,general_loso,,002,,scratch,9,1.8798869440316288,8.070168018341064
gen_loso_003,general_loso,,003,,scratch,1,11.937477121041793,11.850138902664185
gen_loso_003,general_loso,,003,,scratch,2,11.223858900773626,22.34139347076416
gen_loso_003,general_loso,,003,,scratch,3,6.940973361429309,14.939564108848572
gen_loso_003,general_loso,,003,,scratch,4,4.602474909451449,19.5464026927948
gen_loso_003,general_loso,,003,,scratch,5,3.10306012616048,22.015116930007935
gen_loso_003,general_loso,,003,,scratch,6,2.4939112425427052,22.877355575561523
gen_loso_003,general_loso,,003,,scratch,7,2.208287479799633,22.900964498519897
gen_loso_004,general_loso,,004,,scratch,1,11.908315186350455,11.789024472236633
gen_loso_004,general_loso,,004,,scratch,2,11.488490690041974,10.516744017601013
